destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,Y
No Urgent Place,Alone,Sunny,55,2,4,1d,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,0,0.0,1
No Urgent Place,Friend(s),Sunny,80,0,2,2h,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,0,0.0,0
No Urgent Place,Friend(s),Sunny,80,0,1,2h,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,1
No Urgent Place,Friend(s),Sunny,80,2,2,2h,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,0
No Urgent Place,Friend(s),Sunny,80,2,2,1d,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,0
No Urgent Place,Friend(s),Sunny,80,3,4,2h,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,1
No Urgent Place,Friend(s),Sunny,55,2,1,1d,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,1
No Urgent Place,Kid(s),Sunny,80,0,4,2h,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,1
No Urgent Place,Kid(s),Sunny,80,0,1,2h,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,1
No Urgent Place,Kid(s),Sunny,80,0,0,1d,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,1,0.0,0
No Urgent Place,Kid(s),Sunny,80,2,4,1d,Female,0,Unmarried partner,1,5,24,3,Mazda5,never,never,1~3,4~8,1~3,0,0.0,1
